STATE_NAME,STATE_CODE,AGE_GROUP,CAUSE_OF_DEATH,TOTAL_DEATHS,TOTAL_POPULATION
Michigan,26,55-64 years,Diabetes,491,1399535
District of Columbia,11,25-34 years,Motor Vehicle Accidents,11,164541
Colorado,8,35-44 years,Cancer,163,798071
Florida,12,45-54 years,Stroke,363,2709395
New Jersey,34,65-74 years,Alzheimer & Brain Degeneration Disease,211,832866
Kansas,20,55-64 years,Stroke,109,371505
Wyoming,56,65-74 years,Other Causes,135,60590
Alaska,2,55-64 years,COVID-19,29,93339
Maryland,24,55-64 years,Stroke,248,818519
Maine,23,1-14 years,Other Causes,13,152135
Virginia,51,25-34 years,Stroke,10,1190381
Tennessee,47,55-64 years,Heart Diseases,2694,894697
Kansas,20,25-34 years,Other Causes,177,382922
Alaska,2,15-24 years,Other Causes,67,96393
Indiana,18,75-84 years,Alzheimer & Brain Degeneration Disease,927,317937
Nebraska,31,35-44 years,Motor Vehicle Accidents,24,243139
New Mexico,35,25-34 years,Other Accidents,161,284087
Illinois,17,1-14 years,Heart Diseases,12,2322679
South Carolina,45,85+ years,Heart Diseases,3373,91410
Wisconsin,55,35-44 years,Influenza & Pneumonia,12,713075
North Carolina,37,75-84 years,Kidney Disease,717,515192
New Mexico,35,85+ years,Kidney Disease,105,41409
Vermont,50,55-64 years,Stroke,20,95379
North Carolina,37,15-24 years,Other Causes,420,1387060
Virginia,51,65-74 years,Cancer,4250,802291
North Dakota,38,85+ years,Stroke,138,18813
North Dakota,38,65-74 years,Cancer,362,66664
Virginia,51,45-54 years,COVID-19,227,1100274
Kentucky,21,25-34 years,Stroke,11,587380
New York,36,25-34 years,COVID-19,251,2867651
District of Columbia,11,35-44 years,COVID-19,22,108969
South Carolina,45,1-14 years,Other Causes,302,923180
Maryland,24,35-44 years,Chronic Respiratory Diseases,12,782213
Nebraska,31,1-14 years,Other Causes,45,397176
Colorado,8,85+ years,Motor Vehicle Accidents,20,89921
Connecticut,9,55-64 years,Heart Diseases,709,513455
Kansas,20,75-84 years,Chronic Respiratory Diseases,548,137573
Ohio,39,35-44 years,Stroke,61,1397808
Oklahoma,40,65-74 years,Chronic Respiratory Diseases,826,368050
Colorado,8,75-84 years,Heart Diseases,1953,230360
Maryland,24,45-54 years,Cancer,708,795467
Kansas,20,35-44 years,Motor Vehicle Accidents,59,361029
Mississippi,28,1-14 years,Other Accidents,44,579137
North Carolina,37,25-34 years,Chronic Respiratory Diseases,10,1416069
West Virginia,54,65-74 years,COVID-19,350,217323
Ohio,39,25-34 years,Motor Vehicle Accidents,212,1554378
Kansas,20,1-14 years,Other Causes,125,581597
South Dakota,46,55-64 years,Other Causes,116,117498
California,6,25-34 years,Motor Vehicle Accidents,868,6052952
West Virginia,54,15-24 years,Other Causes,54,216856
Vermont,50,15-24 years,Other Causes,11,86646
Kentucky,21,45-54 years,Other Causes,727,563662
Mississippi,28,25-34 years,Heart Diseases,47,393747
Utah,49,55-64 years,Motor Vehicle Accidents,37,303134
Pennsylvania,42,1-14 years,Other Accidents,76,2173564
Iowa,19,45-54 years,Cancer,304,362509
Florida,12,35-44 years,Chronic Respiratory Diseases,36,2600531
Virginia,51,55-64 years,Other Causes,2135,1114417
Nebraska,31,65-74 years,Chronic Respiratory Diseases,271,178908
Nevada,32,85+ years,Stroke,428,44816
New Hampshire,33,35-44 years,Cancer,41,156500
Georgia,13,55-64 years,Kidney Disease,318,1307533
New Jersey,34,45-54 years,Motor Vehicle Accidents,77,1200823
Rhode Island,44,65-74 years,Alzheimer & Brain Degeneration Disease,37,106159
Illinois,17,45-54 years,Influenza & Pneumonia,89,1599789
Missouri,29,35-44 years,Motor Vehicle Accidents,136,753739
West Virginia,54,25-34 years,Heart Diseases,11,214004
Alaska,2,35-44 years,Stroke,10,95765
New York,36,15-24 years,Cancer,86,2445246
District of Columbia,11,65-74 years,Alzheimer & Brain Degeneration Disease,14,50219
Nebraska,31,15-24 years,Other Accidents,20,268196
Ohio,39,85+ years,Motor Vehicle Accidents,54,256272
Maryland,24,1-14 years,Motor Vehicle Accidents,15,1109806
Wisconsin,55,85+ years,COVID-19,2121,128309
South Carolina,45,15-24 years,Other Causes,259,655402
Maine,23,65-74 years,Cancer,972,169079
Arizona,4,65-74 years,Other Causes,2422,751699
North Carolina,37,35-44 years,Cancer,328,1303427
Arkansas,5,1-14 years,Other Accidents,26,581677
Delaware,10,35-44 years,Other Accidents,110,113101
Arkansas,5,75-84 years,Alzheimer & Brain Degeneration Disease,739,161141
Massachusetts,25,1-14 years,Cancer,14,1108397
Mississippi,28,75-84 years,Other Accidents,171,145440
South Dakota,46,25-34 years,Other Accidents,37,115064
New Mexico,35,55-64 years,Other Accidents,174,272921
Missouri,29,45-54 years,Other Accidents,359,732944
Wyoming,56,55-64 years,Stroke,18,78754
Maryland,24,15-24 years,Heart Diseases,15,751030
Maryland,24,65-74 years,Kidney Disease,168,561582
Wisconsin,55,15-24 years,Motor Vehicle Accidents,97,768140
Connecticut,9,75-84 years,Diabetes,182,186095
Virginia,51,75-84 years,Stroke,1067,402130
Illinois,17,15-24 years,COVID-19,22,1652607
Wisconsin,55,75-84 years,Other Causes,3048,294186
Texas,48,15-24 years,Other Causes,1301,4055517
Kentucky,21,35-44 years,Other Causes,426,550953
Alabama,1,45-54 years,Other Accidents,229,616616
Massachusetts,25,35-44 years,Cancer,189,848373
Maryland,24,75-84 years,Other Causes,2714,278421
North Dakota,38,25-34 years,Motor Vehicle Accidents,18,114571
Idaho,16,25-34 years,Other Accidents,55,236490
Montana,30,75-84 years,Motor Vehicle Accidents,19,58951
Minnesota,27,1-14 years,Other Causes,192,1084215
California,6,35-44 years,Heart Diseases,910,5282100
Maine,23,25-34 years,Other Accidents,101,162808
Nevada,32,1-14 years,Other Accidents,24,577641
Alabama,1,65-74 years,Alzheimer & Brain Degeneration Disease,316,501447
Nevada,32,55-64 years,Stroke,144,383476
Wisconsin,55,55-64 years,Kidney Disease,67,823018
North Dakota,38,15-24 years,Motor Vehicle Accidents,14,109397
Utah,49,75-84 years,Other Accidents,122,107832
Hawaii,15,25-34 years,Other Causes,48,199995
Rhode Island,44,35-44 years,Other Causes,40,125335
Delaware,10,55-64 years,Diabetes,53,137730
Alabama,1,25-34 years,Cancer,56,647229
Arizona,4,15-24 years,Other Accidents,285,973547
Virginia,51,1-14 years,Other Accidents,29,1545598
South Carolina,45,25-34 years,COVID-19,26,682854
Oklahoma,40,35-44 years,COVID-19,72,497873
Oregon,41,45-54 years,Cancer,402,510127
Wyoming,56,35-44 years,Motor Vehicle Accidents,18,74285
Indiana,18,85+ years,Cancer,2132,131069
Washington,53,55-64 years,Chronic Respiratory Diseases,350,959608
Wyoming,56,45-54 years,COVID-19,14,63853
Tennessee,47,85+ years,Other Accidents,496,121769
Colorado,8,1-14 years,Motor Vehicle Accidents,13,1042523
Kansas,20,65-74 years,Cancer,1573,272236
Arizona,4,85+ years,Motor Vehicle Accidents,43,145737
Indiana,18,35-44 years,Heart Diseases,249,828959
Alabama,1,75-84 years,Cancer,2715,256847
New York,36,45-54 years,Cancer,1999,2471804
Oregon,41,75-84 years,Other Accidents,253,216944
North Carolina,37,1-14 years,Other Accidents,65,1904242
Washington,53,45-54 years,Diabetes,112,923777
Kentucky,21,1-14 years,Motor Vehicle Accidents,18,833027
Indiana,18,1-14 years,Other Accidents,91,1297321
Michigan,26,85+ years,Kidney Disease,671,213136
West Virginia,54,55-64 years,Other Causes,654,254726
Delaware,10,85+ years,Chronic Respiratory Diseases,126,20254
Florida,12,55-64 years,Chronic Respiratory Diseases,1325,2898355
Nebraska,31,25-34 years,Other Accidents,38,255338
Virginia,51,15-24 years,Cancer,28,1113447
Louisiana,22,25-34 years,Heart Diseases,93,658227
Mississippi,28,85+ years,Other Causes,1281,52298
Nevada,32,45-54 years,Cancer,341,394228
California,6,65-74 years,Alzheimer & Brain Degeneration Disease,1167,3386670
Delaware,10,25-34 years,Motor Vehicle Accidents,23,129080
Texas,48,1-14 years,Chronic Respiratory Diseases,14,6157593
Montana,30,55-64 years,Influenza & Pneumonia,18,150008
Utah,49,35-44 years,Diabetes,14,443453
Iowa,19,65-74 years,Chronic Respiratory Diseases,457,311447
Ohio,39,75-84 years,Cancer,6767,600805
New York,36,85+ years,Other Causes,13929,460001
Colorado,8,55-64 years,Other Causes,1394,713013
Nebraska,31,85+ years,Diabetes,119,43058
Ohio,39,65-74 years,Diabetes,1022,1189243
Missouri,29,1-14 years,Other Accidents,91,1137620
Kansas,20,45-54 years,Influenza & Pneumonia,17,327961
Louisiana,22,35-44 years,Influenza & Pneumonia,11,589854
Pennsylvania,42,15-24 years,COVID-19,13,1603208
Indiana,18,15-24 years,Heart Diseases,19,930398
Arkansas,5,45-54 years,Stroke,58,361582
Illinois,17,55-64 years,Alzheimer & Brain Degeneration Disease,67,1658283
New Hampshire,33,55-64 years,Influenza & Pneumonia,13,214314
Connecticut,9,35-44 years,Cancer,81,427141
Ohio,39,55-64 years,Chronic Respiratory Diseases,1009,1604683
New Jersey,34,55-64 years,Diabetes,318,1223649
Kentucky,21,85+ years,Chronic Respiratory Diseases,666,81868
Alaska,2,65-74 years,Other Causes,125,61300
Tennessee,47,75-84 years,Alzheimer & Brain Degeneration Disease,1517,340228
Montana,30,25-34 years,Other Causes,65,138386
North Carolina,37,85+ years,Other Causes,7030,189394
Wisconsin,55,25-34 years,Cancer,49,741222
Georgia,13,85+ years,Heart Diseases,5848,151069
Missouri,29,25-34 years,Influenza & Pneumonia,10,825887
South Dakota,46,65-74 years,Other Accidents,22,89216
Michigan,26,75-84 years,Diabetes,702,514685
Michigan,26,35-44 years,Stroke,39,1166172
Texas,48,65-74 years,COVID-19,7682,2245028
Minnesota,27,65-74 years,Diabetes,372,531059
New York,36,75-84 years,COVID-19,9420,976223
Mississippi,28,65-74 years,Other Accidents,141,288955
Washington,53,25-34 years,Influenza & Pneumonia,15,1172075
Alaska,2,45-54 years,Other Accidents,34,85130
Colorado,8,25-34 years,Other Accidents,311,913354
Kansas,20,85+ years,COVID-19,1251,65678
Vermont,50,85+ years,Alzheimer & Brain Degeneration Disease,202,14437
Idaho,16,45-54 years,Heart Diseases,93,201766
Oregon,41,35-44 years,Motor Vehicle Accidents,66,568712
Michigan,26,65-74 years,Cancer,6121,1037580
Rhode Island,44,45-54 years,Cancer,115,135112
Utah,49,45-54 years,Kidney Disease,13,328430
California,6,15-24 years,Cancer,197,5180973
Minnesota,27,15-24 years,Motor Vehicle Accidents,64,717060
New Mexico,35,75-84 years,Motor Vehicle Accidents,21,111714
North Dakota,38,55-64 years,Heart Diseases,149,93878
Alabama,1,35-44 years,Diabetes,45,593306
Louisiana,22,65-74 years,Other Causes,1884,442534
Rhode Island,44,85+ years,Chronic Respiratory Diseases,153,27512
Kentucky,21,65-74 years,Cancer,2976,447876
District of Columbia,11,75-84 years,Influenza & Pneumonia,16,24882
New Jersey,34,1-14 years,Cancer,27,1598657
District of Columbia,11,55-64 years,Other Causes,104,69876
Washington,53,75-84 years,Other Causes,3087,339621
Mississippi,28,45-54 years,Heart Diseases,594,362040
New Mexico,35,1-14 years,Other Causes,56,393254
Oklahoma,40,25-34 years,Motor Vehicle Accidents,111,543593
Texas,48,45-54 years,Chronic Respiratory Diseases,181,3554098
Arkansas,5,35-44 years,Heart Diseases,193,370263
Wisconsin,55,45-54 years,Cancer,599,715209
Mississippi,28,15-24 years,COVID-19,12,402867
Hawaii,15,75-84 years,Alzheimer & Brain Degeneration Disease,74,74688
Kentucky,21,15-24 years,Cancer,16,583798
Mississippi,28,35-44 years,Kidney Disease,17,365754
Tennessee,47,65-74 years,COVID-19,1638,681396
Montana,30,15-24 years,Motor Vehicle Accidents,38,135891
Massachusetts,25,65-74 years,Chronic Respiratory Diseases,632,673305
Washington,53,85+ years,Heart Diseases,5024,134578
Illinois,17,25-34 years,Chronic Respiratory Diseases,25,1758096
Utah,49,85+ years,Alzheimer & Brain Degeneration Disease,678,38574
Michigan,26,1-14 years,Other Causes,581,1763131
Colorado,8,65-74 years,Other Causes,1547,522131
Idaho,16,15-24 years,Motor Vehicle Accidents,40,241619
Connecticut,9,25-34 years,Other Causes,134,448029
West Virginia,54,75-84 years,Kidney Disease,152,109552
Iowa,19,1-14 years,Other Causes,115,604131
South Carolina,45,45-54 years,Stroke,112,640607
Tennessee,47,15-24 years,Other Causes,312,869205
New York,36,55-64 years,Chronic Respiratory Diseases,724,2597156
New Hampshire,33,45-54 years,COVID-19,11,183273
New Jersey,34,85+ years,Diabetes,451,203104
Oklahoma,40,85+ years,Heart Diseases,3490,74163
Washington,53,1-14 years,Cancer,24,1392247
Wyoming,56,75-84 years,Chronic Respiratory Diseases,124,27598
California,6,45-54 years,COVID-19,2230,4979745
Alaska,2,25-34 years,Other Causes,72,117588
North Carolina,37,65-74 years,Alzheimer & Brain Degeneration Disease,445,1046508
Florida,12,85+ years,Influenza & Pneumonia,1041,581454
Hawaii,15,55-64 years,Motor Vehicle Accidents,14,179137
Tennessee,47,35-44 years,Stroke,49,847658
Washington,53,35-44 years,Influenza & Pneumonia,25,1028141
South Carolina,45,65-74 years,Heart Diseases,2314,570600
Rhode Island,44,25-34 years,Other Accidents,75,148213
Missouri,29,85+ years,Alzheimer & Brain Degeneration Disease,2101,133531
Massachusetts,25,85+ years,Cancer,2641,159523
Oregon,41,85+ years,Alzheimer & Brain Degeneration Disease,1556,84538
Indiana,18,55-64 years,Diabetes,365,875082
Nevada,32,25-34 years,Cancer,29,453116
California,6,55-64 years,COVID-19,4736,4786635
Idaho,16,1-14 years,Motor Vehicle Accidents,13,370988
Massachusetts,25,25-34 years,Other Accidents,616,994454
New Hampshire,33,85+ years,Stroke,233,30241
Georgia,13,35-44 years,Diabetes,92,1380954
Alaska,2,85+ years,Heart Diseases,190,7181
Missouri,29,55-64 years,Kidney Disease,179,830732
South Dakota,46,1-14 years,Other Causes,20,182833
Hawaii,15,85+ years,Other Causes,1198,41668
Ohio,39,45-54 years,Cancer,1504,1447581
Massachusetts,25,45-54 years,Motor Vehicle Accidents,48,893633
Utah,49,15-24 years,Other Accidents,36,518499
Idaho,16,55-64 years,Diabetes,76,218360
Maine,23,15-24 years,Other Causes,27,152137
New Mexico,35,65-74 years,COVID-19,657,224483
Georgia,13,45-54 years,Cancer,1253,1399652
Louisiana,22,75-84 years,COVID-19,1937,216431
New Jersey,34,15-24 years,COVID-19,15,1093555
Arkansas,5,55-64 years,Chronic Respiratory Diseases,350,385994
Idaho,16,75-84 years,Motor Vehicle Accidents,31,85030
Delaware,10,45-54 years,Influenza & Pneumonia,12,118881
Idaho,16,35-44 years,Motor Vehicle Accidents,42,227172
New Mexico,35,15-24 years,Other Accidents,49,278459
Georgia,13,75-84 years,Stroke,1301,439884
North Carolina,37,45-54 years,Other Causes,1526,1364067
Wyoming,56,15-24 years,Motor Vehicle Accidents,26,74590
Tennessee,47,25-34 years,Cancer,78,949656
New Jersey,34,75-84 years,Kidney Disease,510,439565
Nevada,32,15-24 years,Other Causes,109,365218
Massachusetts,25,75-84 years,Other Causes,3772,336504
Oklahoma,40,55-64 years,Stroke,190,493694
Iowa,19,15-24 years,Other Accidents,34,436415
Montana,30,35-44 years,Other Causes,86,129795
West Virginia,54,85+ years,Motor Vehicle Accidents,16,40136
South Dakota,46,45-54 years,Diabetes,28,94865
California,6,85+ years,Influenza & Pneumonia,2357,749846
Illinois,17,85+ years,Kidney Disease,955,266969
Florida,12,65-74 years,Motor Vehicle Accidents,353,2465369
Alabama,1,1-14 years,Cancer,18,902823
Minnesota,27,35-44 years,Heart Diseases,120,725577
North Dakota,38,75-84 years,Chronic Respiratory Diseases,108,34368
California,6,1-14 years,Influenza & Pneumonia,29,7391703
Ohio,39,15-24 years,Heart Diseases,25,1507223
California,6,75-84 years,Chronic Respiratory Diseases,4041,1701599
Indiana,18,25-34 years,Influenza & Pneumonia,11,890687
Maine,23,45-54 years,Other Accidents,98,174730
Utah,49,65-74 years,Diabetes,173,219466
Wisconsin,55,65-74 years,Kidney Disease,187,594748
Maine,23,55-64 years,Diabetes,81,211560
Iowa,19,85+ years,Diabetes,237,78674
Vermont,50,65-74 years,Other Causes,143,75206
Kentucky,21,75-84 years,Motor Vehicle Accidents,76,220820
Alabama,1,85+ years,Cancer,1365,91543
Vermont,50,45-54 years,Heart Diseases,41,78051
Wisconsin,55,1-14 years,Other Accidents,45,1044527
Pennsylvania,42,75-84 years,Stroke,1778,707157
Vermont,50,75-84 years,Chronic Respiratory Diseases,103,35396
West Virginia,54,45-54 years,Kidney Disease,20,229251
New Mexico,35,35-44 years,Heart Diseases,59,254846
Tennessee,47,1-14 years,Cancer,20,1253286
Louisiana,22,85+ years,Alzheimer & Brain Degeneration Disease,1561,82057
New Jersey,34,35-44 years,Diabetes,33,1137693
Vermont,50,35-44 years,Other Causes,13,71267
Iowa,19,35-44 years,Stroke,14,385215
South Dakota,46,85+ years,Stroke,178,20985
Utah,49,25-34 years,COVID-19,17,471806
Minnesota,27,75-84 years,Chronic Respiratory Diseases,753,266713
Indiana,18,45-54 years,COVID-19,240,824029
Montana,30,65-74 years,Alzheimer & Brain Degeneration Disease,24,124631
Alabama,1,15-24 years,Other Causes,232,635707
District of Columbia,11,85+ years,Chronic Respiratory Diseases,40,12242
Connecticut,9,85+ years,Stroke,717,91330
Iowa,19,55-64 years,Diabetes,151,415696
Montana,30,45-54 years,Motor Vehicle Accidents,20,117800
Oregon,41,55-64 years,Diabetes,216,538950
Kentucky,21,55-64 years,Heart Diseases,1718,598289
Texas,48,75-84 years,Heart Diseases,11697,1080742
Pennsylvania,42,45-54 years,Heart Diseases,1263,1604097
Oklahoma,40,75-84 years,Heart Diseases,2792,192919
Michigan,26,25-34 years,Influenza & Pneumonia,21,1311614
Georgia,13,65-74 years,Stroke,844,926001
Hawaii,15,45-54 years,Influenza & Pneumonia,13,167747
Hawaii,15,15-24 years,Motor Vehicle Accidents,25,165937
Oregon,41,1-14 years,Other Accidents,17,719347
Delaware,10,65-74 years,COVID-19,204,112858
Arizona,4,35-44 years,Diabetes,76,896027
South Dakota,46,15-24 years,Motor Vehicle Accidents,26,116664
Colorado,8,15-24 years,Other Accidents,106,743213
New Hampshire,33,65-74 years,Diabetes,83,152669
Washington,53,15-24 years,Other Causes,204,929322
Pennsylvania,42,55-64 years,Chronic Respiratory Diseases,710,1804883
North Dakota,38,45-54 years,COVID-19,28,78199
Louisiana,22,1-14 years,Motor Vehicle Accidents,33,909405
Oklahoma,40,15-24 years,Other Accidents,59,539562
Ohio,39,1-14 years,Motor Vehicle Accidents,43,2131107
Pennsylvania,42,25-34 years,Stroke,20,1709136
Michigan,26,45-54 years,Kidney Disease,70,1254679
Delaware,10,75-84 years,Motor Vehicle Accidents,12,55794
South Dakota,46,75-84 years,Heart Diseases,440,41670
Arkansas,5,25-34 years,Cancer,26,396868
Connecticut,9,65-74 years,Heart Diseases,1087,352819
Montana,30,85+ years,Cancer,374,22855
District of Columbia,11,45-54 years,Heart Diseases,82,74286
Nebraska,31,75-84 years,COVID-19,594,90492
Florida,12,25-34 years,Motor Vehicle Accidents,561,2799422
Missouri,29,75-84 years,Diabetes,431,318341
Massachusetts,25,55-64 years,Cancer,2112,943190
